Time (seconds),Value
76.35,83.38
76.51,83.24
76.68,75.69
76.84,83.29
77.0,85.14
77.16,85.38
77.32,82.55
77.49,91.0
77.65,93.84
77.81,100.77
77.97,103.59
78.13,93.84
78.29,89.14
78.46,88.32
78.62,75.01
78.79,72.07
78.97,70.72
79.13,76.88
79.29,82.54
79.46,81.36
79.62,79.51
79.78,81.41
79.94,76.19
80.09,74.5
80.26,77.38
80.45,88.19
80.61,87.48
80.77,88.73
80.93,95.74
81.08,95.08
81.26,96.84
81.43,84.6
81.59,83.72
81.76,81.77
81.93,75.95
82.09,73.01
82.27,84.87
82.43,84.45
82.61,84.25
82.78,83.57
82.95,77.95
83.14,74.46
83.29,80.33
83.46,81.3
83.62,85.96
83.78,86.86
83.94,87.36
84.1,103.36
84.26,103.04
84.42,99.85
84.59,92.16
84.74,89.49
85.03,71.93
85.19,74.89
85.35,78.54
85.52,79.93
85.68,81.59
85.84,85.06
86.0,75.09
86.15,77.22
86.31,79.43
86.47,77.08
86.63,80.99
86.86,88.22
87.02,93.53
87.18,89.72
87.35,86.25
87.53,94.47
87.72,86.73
87.88,83.59
88.04,83.21
88.2,80.05
88.36,76.52
88.54,76.02
88.7,82.74
88.86,83.77
89.01,84.82
89.18,85.58
89.34,82.28
89.51,83.49
89.68,83.57
89.85,90.63
90.01,87.39
90.17,86.96
90.36,88.96
90.53,95.33
90.69,103.64
90.85,106.86
91.01,100.23
91.18,77.16
91.34,72.44
91.51,71.39
91.67,74.89
91.83,76.43
91.99,81.49
92.16,83.87
92.33,79.4
92.5,81.23
92.65,77.08
92.82,75.46
93.07,84.09
93.22,88.4
93.39,89.59
93.55,88.42
93.71,92.8
93.9,96.41
94.07,90.18
94.24,86.74
94.4,84.35
94.56,80.76
94.72,77.27
94.87,78.58
95.03,80.65
95.19,82.91
95.35,83.99
95.52,85.3
96.04,76.5
97.08,95.33
97.24,93.44
97.4,90.06
97.56,88.45
97.73,86.95
97.9,83.01
98.06,76.66
98.22,73.13
98.38,78.3
98.54,85.5
98.69,84.35
98.85,83.84
99.05,74.47
99.21,75.24
99.37,81.09
99.53,82.98
99.69,80.93
99.88,92.36
100.06,93.49
100.22,91.29
100.4,95.34
100.56,105.33
100.72,86.01
100.88,84.32
101.07,81.28
101.23,77.77
101.4,77.98
102.06,81.55
102.24,80.79
102.4,79.29
102.56,77.6
102.73,78.79
102.93,86.75
103.1,89.29
103.25,89.27
103.41,92.98
103.57,90.6
103.73,94.22
103.89,85.66
104.06,83.63
104.22,81.96
104.39,76.98
104.55,74.91
104.71,74.91
104.87,81.95
105.03,83.74
105.19,84.34
105.36,85.0
105.52,84.85
105.68,83.92
105.85,80.34
106.01,82.75
106.17,85.47
106.33,84.82
106.49,84.15
106.7,98.63
106.86,104.9
107.02,103.09
107.18,96.04
107.35,90.44
107.56,75.54
107.71,77.62
107.88,76.4
108.04,79.58
108.2,82.39
108.36,82.61
108.52,83.86
108.69,76.08
108.86,71.34
109.03,67.4
109.19,78.1
109.4,90.94
109.56,89.72
109.72,88.75
109.88,91.55
110.04,105.17
110.2,112.12
110.37,84.26
110.53,81.67
110.69,78.67
110.85,75.26
111.02,78.64
111.21,80.9
111.37,82.71
111.53,83.08
111.7,83.32
111.85,82.25
112.01,77.12
112.17,83.67
112.33,84.07
112.52,84.17
112.68,83.94
112.87,85.91
113.03,96.11
113.19,105.33
113.35,105.94
113.52,98.15
113.68,93.04
113.84,75.15
114.0,77.56
114.17,80.48
114.33,79.59
114.5,77.99
114.66,81.9
114.88,81.39
115.04,75.75
115.2,75.9
115.38,78.46
115.54,79.69
115.72,84.01
115.87,87.39
116.03,96.48
116.2,96.54
116.35,95.57
116.51,100.45
116.66,102.18
116.83,81.07
116.99,78.36
117.16,77.01
117.32,75.55
117.49,78.0
117.65,83.94
117.81,81.83
117.97,83.6
118.14,81.5
118.31,79.47
118.47,77.95
118.64,84.43
118.79,85.09
118.95,84.51
119.11,91.62
119.28,91.9
119.44,93.12
120.08,78.63
120.24,77.78
120.4,77.82
120.56,76.46
120.73,78.21
120.89,79.75
121.06,84.6
121.22,84.67
121.39,83.48
121.56,84.35
121.73,83.76
121.91,84.37
122.07,84.0
122.23,85.35
122.39,85.41
122.55,84.58
122.72,84.97
122.9,84.58
123.08,84.32
123.24,84.58
123.4,85.08
123.56,85.91
123.74,84.82
123.94,83.79
124.1,83.28
