time,force
63.66,830.66
63.82,726.94
63.98,541.59
64.14,817.46
64.3,808.79
64.46,912.79
64.62,1355
64.78,1077.04
64.94,777.71
65.1,842.7
65.26,556
65.42,707.49
65.58,807.65
65.74,830.68
65.9,825.3
66.06,828.52
66.22,826.6
66.38,828.23
66.54,826.97
66.7,827.88
66.86,828.5
67.02,826.28
67.18,664.77
67.34,601.82
67.5,771.52
67.66,920.82
67.82,930.54
67.98,1285.85
68.14,1046.27
68.3,890.3
68.46,696.34
68.62,569.96
68.78,760.05
68.94,791.64
69.1,835.68
69.26,827.89
69.42,826.81
69.58,826.56
69.74,826.59
69.9,829.21
70.06,828.08
70.22,829.44
70.38,809.01
70.54,672.23
70.7,612.89
70.86,835.09
71.02,825.09
71.18,1018.87
71.34,1271.48
71.5,974.58
71.66,900.45
71.82,698.16
71.98,523.49
72.14,820.93
72.3,796.33
72.46,831.03
72.62,824.05
72.78,827.59
72.94,828.55
73.1,828.68
73.26,828.39
73.42,826.79
73.58,827.39
73.74,822.85
73.9,628.17
74.06,678.62
74.22,683.88
74.38,965.29
74.54,1038.85
74.7,1205.33
74.86,968.19
75.02,905.74
75.18,790.85
75.34,536.69
75.5,718.27
75.66,822.52
75.82,827.19
75.98,826.36
76.14,827.25
76.3,826.84
76.46,828.62
76.62,827.98
76.78,827.93
76.94,827.76
77.1,827.66
77.26,830.66
77.42,828.7
77.58,797.44
77.74,524.6
77.9,788.37
78.06,707.23
78.22,899.44
78.38,1371.94
78.54,1150.96
78.7,799.32
78.86,834.83
79.02,591.99
79.18,638.23
79.34,839.19
79.5,816.08
79.66,826.17
79.82,831.65
79.98,826.99
80.14,826.25
80.3,828.25
80.46,827.37
80.62,825.81
80.78,732.86
80.94,540.66
81.1,816.06
81.26,811.46
81.42,898.73
81.58,1361.19
81.74,1062.45
81.9,816.95
82.06,780.51
82.22,664.98
82.38,631.02
82.54,829.25
82.7,810.33
82.86,832.87
83.02,829.12
83.18,828.47
83.34,827.84
83.5,827.79
83.66,826.79
83.82,831.38
83.98,787.3
84.14,526.37
84.3,753.13
84.46,891.48
84.62,891.68
84.78,1084.97
84.94,1181.07
85.1,986.57
85.26,789.85
85.42,533.77
85.58,721.9
85.74,783.91
85.9,830.09
86.06,824.91
86.22,830.27
86.38,827.5
86.54,825.76
86.7,827.7
86.86,826.86
87.02,827.74
87.18,782.29
87.34,594.43
87.5,668.68
87.66,821.35
87.82,1015.88
87.98,1114.1
88.14,1119.56
88.3,972.66
88.46,790.71
88.62,565.61
88.78,697.52
88.94,808.37
89.1,811.44
89.26,825.51
89.42,831.32
89.58,827.42
89.74,827.07
89.9,827.12
90.06,827.64
90.22,828.79
90.38,782.76
90.54,608.26
90.7,652.21
90.86,860.42
91.02,902.62
91.18,1240.48
91.34,1140.81
91.5,822.74
91.66,866.9
91.82,571.51
91.98,680.66
92.14,814.23
92.3,817.94
92.46,828.13
92.62,826.16
92.78,827.61
92.94,828.49
93.1,829.11
93.26,828.46
93.42,827.44
93.58,828.26
93.74,827.7
93.9,783.05
94.06,481.92
94.22,839.08
94.38,833.87
94.54,879.71
94.7,1205.63
94.86,1172.62
95.02,908.61
95.18,770.07
95.34,496.89
95.5,770.24
95.66,785.49
95.82,836.47
95.98,824.61
96.14,827.53
96.3,826.65
96.46,829.5
96.62,828.75
96.78,828.73
96.94,827.95
97.1,827.23
97.26,698.56
97.42,568.55
97.58,804.2
97.74,886.72
97.9,900.5
98.06,1275.08
98.22,1057.21
98.38,937.03
98.54,712.28
98.7,499.46
98.86,789.89
99.02,804.96
99.18,831.1
99.34,824.27
99.5,825.59
99.66,829.01
99.82,827.94
99.98,828.26
100.14,826.72
100.3,827.75
100.46,819.92
100.62,613.56
100.78,648.74
100.94,817.16
101.1,884
101.26,921.26
101.42,1317.4
101.58,1032.95
101.74,859.64
101.9,752.49
102.06,549.65
102.22,745.95
102.38,798.88
102.54,832.19
102.7,822.81
102.86,830.53
103.02,831.54
103.18,793.88
103.34,878.84
103.5,804.74
103.66,828.54
103.82,826.4
103.98,686.64
104.14,598.35
104.3,761.22
104.46,833.02
104.62,937.06
104.78,1505.41
104.94,903.36
105.1,847.07
105.26,715.46
105.42,615.62
105.58,715.8
105.74,829.08
105.9,816.22
106.06,826.66
106.22,826.65
106.38,828.9
106.54,828.09
106.7,828.28
106.86,827.15
107.02,826.79
107.18,826.59
107.34,831.17
107.5,781.06
107.66,522.74
107.82,782.38
107.98,752.62
108.14,968.65
108.3,1283.8
108.46,1149.65
108.62,797.56
108.78,819.93
108.94,575.6
109.1,697.05
109.26,814.55
109.42,816.81
109.58,823.74
109.74,829.69
109.9,828.81
110.06,826.59
110.22,829.97
110.38,828.53
110.54,827.28
110.7,827.33
110.86,827.5
111.02,823.98
111.18,814.47
111.34,618.08
111.5,708.87
111.66,776.07
111.82,831.72
111.98,1094.78
112.14,1301.4
112.3,892.97
112.46,852.16
112.62,634.68
112.78,630.22
112.94,795.37
113.1,812.47
113.26,829.46
113.42,827.3
113.58,827.31
113.74,830.12
113.9,829.27
114.06,826.13
114.22,827.7
114.38,826.88
114.54,828.27
114.7,792.46
114.86,675.27
115.02,668.63
115.18,802.88
115.34,793.19
115.5,912.32
115.66,1462.36
115.82,949.8
115.98,832.6
116.14,727.35
116.3,613.63
116.46,708.86
116.62,828.84
116.78,823.92
116.94,824.89
117.1,830.49
117.26,828
117.42,825.98
117.58,826.89
117.74,826.88
117.9,828.14
118.06,827.15
118.22,825.48
118.38,811.66
118.54,715.8
118.7,546.26
118.86,889.8
119.02,861.1
119.18,864.01
119.34,1223.79
119.5,1123.46
119.66,885.78
119.82,734.18
119.98,558.62
120.14,771.27
120.3,775.72
120.46,833.74
120.62,825.33
120.78,826.56
120.94,827.08
121.1,827.8
121.26,829.76
121.42,828.29
121.58,828.67
121.74,827.28
121.9,827.57
122.06,828.89
122.22,587.37
122.38,656.89
122.54,800.35
122.7,930.78
122.86,1212.72
123.02,1151.48
123.18,843.38
123.34,831.18
123.5,609.58
123.66,685.24
123.82,807.05
123.98,814.01
124.14,834
124.3,825.7
124.46,826.79
124.62,828.82
124.78,827.9
124.94,826.96
125.1,826.81
125.26,828.6
125.42,660.66
125.58,642.61
125.74,787.17
125.9,837.13
126.06,1022.6
126.22,1294.72
126.38,981.66
126.54,794.13
126.7,715.77
126.86,598.62
127.02,799.73
127.18,804.86
127.34,822.21
127.5,827.17
127.66,826.66
127.82,828.89
127.98,830.29
128.14,826.2
128.3,828.05
128.46,826.17
128.62,827.51
128.78,826.77
128.94,828.03
129.1,828.96
129.26,828.03
129.42,830.98
129.58,723.95
129.74,586.94
129.9,760.19
130.06,737.42
130.22,1121.85
130.38,1443.82
130.54,803.75
130.7,886.88
130.86,634.51
131.02,620.96
131.18,812.52
131.34,792.44
131.5,836.62
131.66,826.42
131.82,828.88
131.98,826.28
132.14,826.32
132.3,827.31
132.46,825.36
132.62,829.59
132.78,755.08
132.94,520.14
133.1,754.38
133.26,875.28
133.42,959.67
133.58,1338.49
133.74,1020.51
133.9,847.55
134.06,715.98
134.22,622.67
134.38,737.77
134.54,786.68
134.7,832.17
134.86,826.46
135.02,828.48
135.18,825.69
135.34,827.32
135.5,828.18
135.66,827.74
135.82,827.51
135.98,818.71
136.14,607.46
136.3,669.32
136.46,861.95
136.62,804.76
136.78,1052.74
136.94,1311.59
137.1,821.87
137.26,922.19
137.42,735.38
137.58,566.53
137.74,812.12
137.9,770.41
138.06,839.22
138.22,826.08
138.38,825.21
138.54,824.61
138.7,830.57
138.86,830.37
139.02,825.61
139.18,828.82
139.34,827.67
139.5,817.74
139.66,645.87
139.82,637.12
139.98,846.8
140.14,883.58
140.3,924.11
