time,force
8.02,830.54
8.04,827.3
8.06,823.61
8.08,825.44
8.1,831.52
8.12,831.49
8.14,829.11
8.16,834.94
8.18,814.84
8.2,821.92
8.22,825.14
8.24,832
8.26,836.8
8.28,843.93
8.3,805.47
8.32,821.12
8.34,829.08
8.36,833.1
8.38,821.75
8.4,824.38
8.42,831.32
8.44,834.16
8.46,822.53
8.48,824.76
8.5,836.42
8.52,834.43
8.54,822.1
8.56,812.75
8.58,799.84
8.6,860.69
8.62,836.49
8.64,827.15
8.66,822
8.68,822.32
8.7,844.21
8.72,831.87
8.74,826.27
8.76,819.41
8.78,822.83
8.8,834.16
8.82,832.07
8.84,823.86
8.86,818.88
8.88,820.06
8.9,846.67
8.92,828.68
8.94,823.88
8.96,841.77
8.98,841.07
9,831.14
9.02,816.24
9.04,807.63
9.06,810.42
9.08,843.38
9.1,809.64
9.12,810.21
9.14,826.62
9.16,810.44
9.18,870.39
9.2,842.15
9.22,858.65
9.24,865.86
9.26,961.13
9.28,706.63
9.3,762
9.32,758.74
9.34,756.85
9.36,557.75
9.38,1025.22
9.4,1026.17
9.42,505.54
9.44,1038.94
9.46,875.61
9.48,974.87
9.5,938.32
9.52,908.37
9.54,824.61
9.56,854.56
9.58,556.29
9.6,787.55
9.62,811.75
9.64,830.46
9.66,842.45
9.68,839.13
9.7,819.46
9.72,821.57
9.74,831.77
9.76,837.77
9.78,851.77
9.8,815.72
9.82,820.49
9.84,822.95
9.86,842.3
9.88,833.05
9.9,810.44
9.92,857.9
9.94,811.22
9.96,856.59
9.98,806.7
10,815.01
10.02,810.19
10.04,815.82
10.06,827.45
10.08,827.95
10.1,845.71
10.12,830.06
10.14,829.91
10.16,827.02
10.18,821.8
10.2,825.29
10.22,827.57
10.24,828.28
10.26,827.22
10.28,820.36
10.3,840.19
10.32,829.31
10.34,827.65
10.36,822.8
10.38,835.82
10.4,822.3
10.42,828.6
10.44,826.77
10.46,825.09
10.48,830.59
10.5,825.77
10.52,826.82
10.54,828.33
10.56,821.85
10.58,836.22
10.6,827.78
10.62,827.47
10.64,828
10.66,827.95
10.68,827.83
10.7,823.81
10.72,834.01
10.74,828.08
10.76,827.8
10.78,831.07
10.8,827.55
10.82,827.63
10.84,826.87
10.86,823.71
10.88,830.49
10.9,828.23
10.92,829.43
10.94,829.28
10.96,827.78
10.98,827.12
11,827.37
11.02,827.55
11.04,828.25
11.06,829.26
11.08,829.48
11.1,826.12
11.12,827.95
11.14,828.05
11.16,829.61
11.18,827.22
11.2,826.14
11.22,826.32
11.24,828.25
11.26,830.89
11.28,827
11.3,827.35
11.32,826.49
11.34,826.32
11.36,822.5
11.38,832.32
11.4,829.06
11.42,828.55
11.44,827.47
11.46,825.79
11.48,830.04
11.5,827.78
11.52,827.4
11.54,828.23
11.56,830.41
11.58,827.07
11.6,828.48
11.62,828.83
11.64,828.2
11.66,830.92
11.68,823.93
11.7,827.07
11.72,827.9
11.74,828.55
11.76,831.27
11.78,825.82
11.8,827.57
11.82,826.9
11.84,826.42
11.86,825.87
11.88,828.88
11.9,827.88
11.92,827.7
11.94,827.95
11.96,830.49
11.98,827.42
12,825.39
12.02,834.43
12.04,823.03
12.06,824.99
12.08,822.2
12.1,832.27
12.12,829.66
12.14,828.68
12.16,829.74
12.18,828.63
12.2,829.18
12.22,828.13
12.24,827.55
12.26,833.6
12.28,823.83
12.3,828.13
12.32,827.22
12.34,826.77
12.36,829.91
12.38,822.98
12.4,826.57
12.42,826.54
12.44,827.3
12.46,827.3
12.48,824.41
12.5,826.54
12.52,825.19
12.54,826.37
12.56,817.5
12.58,836.82
12.6,827.42
12.62,827.88
12.64,828.93
12.66,821.55
12.68,837.65
12.7,827.93
12.72,827.93
12.74,826.42
12.76,807.35
12.78,835.77
12.8,825.77
12.82,825.99
12.84,824.71
12.86,824.56
12.88,788.26
12.9,866.24
12.92,833.1
12.94,832.27
12.96,830.56
12.98,819.01
13,849.26
13.02,831.42
13.04,830.04
13.06,829.69
13.08,827.4
13.1,833.53
13.12,827.47
13.14,842.17
13.16,954
13.18,730
13.2,809.03
13.22,826.95
13.24,831.02
13.26,831.77
13.28,851.94
13.3,788.61
13.32,805.69
13.34,802.33
13.36,769.69
13.38,912.69
13.4,829.71
13.42,832.57
13.44,827.57
13.46,795.42
13.48,831.07
13.5,826.34
13.52,828.13
13.54,826.52
13.56,823.86
13.58,783.21
13.6,856.44
13.62,835.66
13.64,847.52
13.66,850.66
13.68,842.82
13.7,838
13.72,835.46
13.74,832.1
13.76,829.99
13.78,868.55
13.8,779.31
13.82,819.86
13.84,819.89
13.86,821.72
13.88,832.75
13.9,815.94
13.92,826.72
13.94,827.4
13.96,829.03
13.98,835.54
14,821.29
14.02,828.76
14.04,827.83
14.06,836.04
14.08,821.37
14.1,830.09
14.12,828.71
14.14,827.68
14.16,828.1
14.18,826.14
14.2,832.5
14.22,814.71
14.24,818.05
14.26,851.62
14.28,934.15
14.3,750.47
14.32,783.63
14.34,770.95
14.36,700.43
14.38,935.93
14.4,901.41
14.42,692.84
14.44,887.24
14.46,823.98
14.48,894.3
14.5,804.41
14.52,915.66
14.54,783.18
14.56,819.36
14.58,794.39
14.6,842.22
14.62,830.97
14.64,827.63
14.66,826.44
14.68,822.4
14.7,853.5
14.72,841.57
14.74,841.09
14.76,885.41
14.78,793.48
14.8,829.86
14.82,827.17
14.84,825.62
14.86,862.12
14.88,775.32
14.9,823.23
14.92,823.86
14.94,825.44
14.96,839.01
14.98,779.41
15,816.37
15.02,828.55
15.04,832.37
15.06,833.18
15.08,823.66
15.1,844.86
15.12,830.36
15.14,828.4
15.16,826.02
15.18,830.36
15.2,827.07
15.22,829.46
15.24,827.83
15.26,826.77
15.28,826.92
15.3,828.93
15.32,830.09
15.34,827.55
15.36,831.59
15.38,824.31
15.4,828.08
15.42,828.86
15.44,827.12
15.46,825.46
15.48,825.92
15.5,825.67
15.52,825.24
15.54,826.95
15.56,824.46
15.58,834.43
15.6,829.08
15.62,830.26
15.64,828.71
15.66,823.5
15.68,827.63
15.7,827.27
15.72,827.35
15.74,828.35
15.76,829.74
15.78,828.76
15.8,826.52
15.82,826.75
15.84,827.37
15.86,827.9
15.88,826.47
15.9,832.3
15.92,829.28
15.94,828.08
15.96,824.33
15.98,827.27
16,827.95
16.02,828
16.04,827.02
16.06,826.27
16.08,821.8
16.1,834.91
16.12,829.48
16.14,829.74
16.16,830.11
16.18,826.95
16.2,827.32
16.22,827.85
16.24,827.47
16.26,825.89
16.28,830.26
16.3,829.51
16.32,828.68
16.34,828.25
16.36,827.63
16.38,824.84
16.4,824.56
16.42,829.81
16.44,830.16
16.46,835.11
16.48,821.8
16.5,824.76
16.52,827.07
16.54,828.38
16.56,825.36
16.58,828.53
16.6,828.45
16.62,828.83
16.64,828.93
16.66,828.5
16.68,826.42
16.7,828.58
16.72,823.43
16.74,830.51
16.76,827.17
16.78,829.41
16.8,828.68
16.82,828.98
16.84,828.3
16.86,827.95
16.88,832.15
16.9,825.11
16.92,828.05
16.94,827.47
16.96,828.05
16.98,834.03
17,822.17
17.02,826.62
17.04,827.52
17.06,826.95
17.08,830.14
17.1,823.78
17.12,831.52
17.14,825.24
17.16,828.86
17.18,826.54
17.2,827.2
17.22,827.63
17.24,828.08
17.26,827.78
17.28,827.4
17.3,827.22
17.32,828.08
17.34,828.4
17.36,828.28
17.38,829.71
17.4,826.42
17.42,827.6
17.44,827.88
17.46,828.03
17.48,830.36
17.5,825.94
17.52,827.55
17.54,827.6
17.56,827.27
17.58,827.6
17.6,828.23
17.62,827.78
17.64,828.6
17.66,831.27
17.68,825.97
17.7,827.8
17.72,827.78
17.74,827.25
17.76,827.78
17.78,831.32
17.8,825.41
17.82,827.5
17.84,827.3
17.86,828.63
17.88,834.08
17.9,822.55
