time,force
63.98,822.67
64.14,813.81
64.3,850.39
64.46,812.55
64.62,834.24
64.78,801.9
64.94,765.55
65.1,780.9
65.26,778.24
65.42,817.9
65.58,825.76
65.74,824.69
65.9,827.68
66.06,827.76
66.22,831.8
66.38,825.67
66.54,823.07
66.7,827.4
66.86,829.54
67.02,827.84
67.18,824
67.34,832.52
67.5,827.07
67.66,812.59
67.82,788.18
67.98,816.95
68.14,741.61
68.3,817.95
68.46,869.38
68.62,833.52
68.78,807.5
68.94,845.26
69.1,822.41
69.26,812.2
69.42,835.75
69.58,822.71
69.74,859.55
69.9,981.41
70.06,960.27
70.22,819.95
70.38,853.55
70.54,803.83
70.7,825.97
70.86,827.98
71.02,829.91
71.18,828.93
71.34,785.61
71.5,748.85
71.66,785.78
71.82,817.3
71.98,830.62
72.14,824.9
72.3,826.95
72.46,828.3
72.62,827.37
72.78,827.73
72.94,827.7
73.1,827.52
73.26,828.53
73.42,827.67
73.58,827.94
73.74,827.32
73.9,826.9
74.06,823.24
74.22,829.97
74.38,825.36
74.54,775.64
74.7,833.46
74.86,776.69
75.02,805.46
75.18,817.27
75.34,828.71
75.5,802.11
75.66,840.49
75.82,818.96
75.98,826.04
76.14,830.28
76.3,834.58
76.46,865.42
76.62,886.36
76.78,950.18
76.94,965.37
77.1,837.98
77.26,796.38
77.42,853.61
77.58,755.23
77.74,803.79
77.9,820.59
78.06,822.44
78.22,833.3
78.38,823.81
78.54,813.54
78.7,817.94
78.86,784.84
79.02,803.92
79.18,816.36
79.34,828.44
79.5,827.91
79.66,827.77
79.82,826.83
79.98,827.92
80.14,827.38
80.3,828.42
80.46,828.13
80.62,827.23
80.78,828.36
80.94,828.19
81.1,825.9
81.26,824.21
81.42,832.64
81.58,822.13
81.74,768.53
81.9,813.3
82.06,790.53
82.22,830.75
82.38,760.05
82.54,868.21
82.7,834.15
82.86,842.27
83.02,833.53
83.18,811.74
83.34,828.04
83.5,843.36
83.66,815.97
83.82,889.83
83.98,911.18
84.14,946.56
84.3,876.78
84.46,775.39
84.62,823.59
84.78,816.08
84.94,830.66
85.1,859.55
85.26,827.86
85.42,852.13
85.58,816.88
85.74,789.03
85.9,766.77
86.06,780.33
86.22,813.66
86.38,825.35
86.54,825.63
86.7,828.19
86.86,827.74
87.02,828.54
87.18,828.3
87.34,827.72
87.5,827.33
87.66,828
87.82,827.82
87.98,828.15
88.14,827.99
88.3,827.27
88.46,827.63
88.62,825.65
88.78,822.75
88.94,822.24
89.1,809.4
89.26,805.73
89.42,828.88
89.58,796.53
89.74,797.79
89.9,788.49
90.06,845.51
90.22,829.48
90.38,801.8
90.54,852.86
90.7,815.97
90.86,839.14
91.02,811.45
91.18,860.26
91.34,884.78
91.5,854.64
91.66,918.96
91.82,866.76
91.98,874.35
92.14,847.15
92.3,845.95
92.46,814.13
92.62,844.73
92.78,817.76
92.94,818.93
93.1,855.2
93.26,790.91
93.42,760.52
93.58,758.46
93.74,817.68
93.9,824.01
94.06,827.67
94.22,827.34
94.38,826.35
94.54,827.8
94.7,828.06
94.86,828.15
95.02,826.63
95.18,826.51
95.34,827.77
95.5,828.87
95.66,828.28
95.82,827.31
95.98,828.31
96.14,827.26
96.3,826.01
96.46,824.08
96.62,806.9
96.78,785.62
96.94,801.16
97.1,706.64
97.26,940.48
97.42,815.23
97.58,812.83
97.74,855.51
97.9,820.89
98.06,825
98.22,812.33
98.38,820.57
98.54,848.25
98.7,825.9
98.86,864.97
99.02,896.26
99.18,899.04
99.34,931.19
99.5,840.51
99.66,830.51
99.82,838.01
99.98,821.56
100.14,810.43
100.3,828.11
100.46,823.95
100.62,816.94
100.78,806.96
100.94,725.79
101.1,808.12
101.26,824.11
101.42,825.92
101.58,827.32
101.74,827.78
101.9,827.6
102.06,827.67
102.22,827.63
102.38,827.32
102.54,827.84
102.7,827.18
102.86,829.21
103.02,828.06
103.18,827.65
103.34,827.48
103.5,827.58
103.66,825.86
103.82,823.28
103.98,829.58
104.14,804.88
104.3,798.83
104.46,811.6
104.62,815.91
104.78,794.54
104.94,814.19
105.1,827.06
105.26,817.69
105.42,823.14
105.58,856
105.74,791.96
105.9,805.96
106.06,860.65
106.22,822.87
106.38,885.84
106.54,914.2
106.7,888.83
106.86,932.33
107.02,881.79
107.18,788.07
107.34,856.63
107.5,822.29
107.66,808.49
107.82,825.42
107.98,825.23
108.14,798.37
108.3,768.88
108.46,782.18
108.62,806.9
108.78,809.12
108.94,827.15
109.1,827.44
109.26,826.52
109.42,829.91
109.58,828.33
109.74,827.38
109.9,827.89
110.06,826.9
110.22,827.55
110.38,825.26
110.54,799.51
110.7,800.79
110.86,853.82
111.02,798.4
111.18,791.45
111.34,816.12
111.5,794.62
111.66,801.64
111.82,840.75
111.98,836.16
112.14,822.44
112.3,784.21
112.46,846.94
112.62,868.02
112.78,895
112.94,871.32
113.1,894.38
113.26,906.11
113.42,877.87
113.58,827.69
113.74,826.5
113.9,840.79
114.06,802.29
114.22,853.27
114.38,863.8
114.54,786.85
114.7,802.84
114.86,772.9
115.02,776.94
115.18,795.11
115.34,818.33
115.5,827.3
115.66,826.99
115.82,828.25
115.98,827.83
116.14,827.96
116.3,827.85
116.46,828.16
116.62,825.69
116.78,816.21
116.94,805.75
117.1,823.88
117.26,857.06
117.42,785.23
