time,force
63.82,968.22
63.98,998.26
64.14,844.03
64.3,881.95
64.46,919.44
64.62,761.1
64.78,785.04
64.94,686.37
65.1,769.23
65.26,807.33
65.42,833.43
65.58,774.37
65.74,786.85
65.9,736.69
66.06,709.57
66.22,886.15
66.38,887.47
66.54,865.25
66.7,880.26
66.86,874.97
67.02,964.59
67.18,1051.37
67.34,887.38
67.5,842.47
67.66,905.17
67.82,745.3
67.98,773.25
68.14,750.67
68.3,753.06
68.46,793.86
68.62,821.63
68.78,759.23
68.94,726.52
69.1,727.39
69.26,852.9
69.42,864.15
69.58,843.23
69.74,921.43
69.9,858.63
70.06,887.67
70.22,1016.61
70.38,991.61
70.54,852.23
70.7,879.42
70.86,876.14
71.02,733.53
71.18,730.78
71.34,757.1
71.5,781.19
71.66,806.82
71.82,825.46
71.98,746.71
72.14,740.22
72.3,777.96
72.46,755.3
72.62,905.82
72.78,899.51
72.94,870.64
73.1,902.94
73.26,853.4
73.42,999.22
73.58,985.11
73.74,827.4
73.9,858.09
74.06,887.82
74.22,773.44
74.38,794.14
74.54,727.34
74.7,769.06
74.86,809.75
75.02,822.61
75.18,817.8
75.34,706.17
75.5,742.04
75.66,687.84
75.82,895.05
75.98,971.01
76.14,870.17
76.3,870.49
76.46,856.02
76.62,967.98
76.78,1007.31
76.94,906.06
77.1,877.75
77.26,880.94
77.42,728.45
77.58,733.82
77.74,734.4
77.9,794.6
78.06,818.02
78.22,806.83
78.38,765.84
78.54,771.99
78.7,764.56
78.86,732.92
79.02,865.31
79.18,878.63
79.34,907.91
79.5,916.96
79.66,902.97
79.82,1000.6
79.98,929.13
80.14,877.22
80.3,863.31
80.46,808.17
80.62,772.56
80.78,786.38
80.94,750.75
81.1,779.71
81.26,811.41
81.42,811.85
81.58,790.13
81.74,801.74
81.9,765.27
82.06,727.23
82.22,838.76
82.38,833.95
82.54,913.14
82.7,882.86
82.86,909.35
83.02,919.74
83.18,942.24
83.34,903.05
83.5,877.74
83.66,890.92
83.82,772.03
83.98,847.02
84.14,768.34
84.3,723.07
84.46,785.7
84.62,817.84
84.78,829.95
84.94,790.36
85.1,742.83
85.26,726
85.42,811.06
85.58,815.08
85.74,881.68
85.9,883.6
86.06,920.77
86.22,881.49
86.38,1053.69
86.54,858.16
86.7,869.04
86.86,914.29
87.02,806.05
87.18,817.9
87.34,786.44
87.5,750.22
87.66,780.59
87.82,794.22
87.98,813.18
88.14,812
88.3,776.02
88.46,753.9
88.62,726.17
88.78,701.03
88.94,951.93
89.1,915.28
89.26,885.37
89.42,839.26
89.58,1026.59
89.74,1088.61
89.9,796.14
90.06,912
90.22,810.96
90.38,791.4
90.54,753.79
90.7,753.46
90.86,781.56
91.02,806.2
91.18,816.24
91.34,831.18
91.5,773.14
91.66,688.76
91.82,782.03
91.98,744.78
92.14,903.31
92.3,909.96
92.46,853.97
92.62,905.98
92.78,947.02
92.94,1032.55
93.1,913.63
93.26,889.02
93.42,809.24
93.58,837.02
93.74,738.46
93.9,737.68
94.06,779.26
94.22,791.52
94.38,833.58
94.54,796.42
94.7,758.78
94.86,694.51
95.02,698.67
95.18,842.97
95.34,959.32
95.5,913.79
95.66,819.45
